site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,wan1_arin_provider,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,wan2_arin_provider,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,wan1_arin_match,wan2_arin_match,would_get_dsr_badge
ALB 01,ALB 01,Primary,AT&T Broadband II,200.0M x 200.0M,105.00,108.209.60.25,Enabled,csv_import,AT&T Broadband II,200.0M x 200.0M,108.209.60.25,AT&T,Spectrum,600.0M x 35.0M,24.197.4.98,Charter Communications,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
ALB 01,ALB 01 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,24.197.4.98,Enabled,csv_import,AT&T Broadband II,200.0M x 200.0M,108.209.60.25,AT&T,Spectrum,600.0M x 35.0M,24.197.4.98,Charter Communications,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
ALB 03,ALB 03,Primary,Spectrum,600.0M x 35.0M,172.23,66.190.127.170,Enabled,csv_import,Spectrum,600.0M x 35.0M,66.190.127.170,Charter Communications,VZW Cell,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
ALM 01,ALM 01,Primary,Spectrum,600.0M x 35.0M,244.45,35.135.143.110,Enabled,csv_import,Spectrum,600.0M x 35.0M,35.135.143.110,Charter Communications,AT&T Broadband II,300.0M x 300.0M,66.141.81.241,AT&T,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ALM 01,ALM 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,66.141.81.241,Enabled,csv_import,Spectrum,600.0M x 35.0M,35.135.143.110,Charter Communications,AT&T Broadband II,300.0M x 300.0M,66.141.81.241,AT&T,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ALM 02,ALM 02,Primary,Spectrum,300.0M x 20.0M,207.45,156.19.135.26,Enabled,csv_import,Spectrum,300.0M x 20.0M,156.19.135.26,Charter Communications,AT&T Broadband II,300.0M x 300.0M,104.52.182.129,AT&T,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ALM 02,ALM 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.52.182.129,Enabled,csv_import,Spectrum,300.0M x 20.0M,156.19.135.26,Charter Communications,AT&T Broadband II,300.0M x 300.0M,104.52.182.129,AT&T,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ALM 03,ALM 03,Primary,Spectrum,940.0M x 35.0M,355.56,156.19.130.22,Enabled,csv_import,Spectrum,940.0M x 35.0M,156.19.130.22,Charter Communications,AT&T Broadband II,1000.0M x 1000.0M,75.6.50.193,AT&T,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ALM 03,ALM 03- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,75.6.50.193,Enabled,csv_import,Spectrum,940.0M x 35.0M,156.19.130.22,Charter Communications,AT&T Broadband II,1000.0M x 1000.0M,75.6.50.193,AT&T,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ALM 04,ALM 04,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.242.168.129,Enabled,csv_import,AT&T Broadband II,1000.0M x 1000.0M,76.242.168.129,AT&T,Spectrum,600.0M x 35.0M,24.197.80.118,Charter Communications,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
